,Date,Revenue
0,2022-06-30,82959
1,2022-03-31,97278
2,2021-12-31,123945
3,2021-09-30,83360
4,2021-06-30,81434
5,2021-03-31,89584
6,2020-12-31,111439
7,2020-09-30,64698
8,2020-06-30,59685
9,2020-03-31,58313
10,2019-12-31,91819
11,2019-09-30,64040
12,2019-06-30,53809
13,2019-03-31,58015
14,2018-12-31,84310
15,2018-09-30,62900
16,2018-06-30,53265
17,2018-03-31,61137
18,2017-12-31,88293
19,2017-09-30,52579
20,2017-06-30,45408
21,2017-03-31,52896
22,2016-12-31,78351
23,2016-09-30,46852
24,2016-06-30,42358
25,2016-03-31,50557
26,2015-12-31,75872
27,2015-09-30,51501
28,2015-06-30,49605
29,2015-03-31,58010
30,2014-12-31,74599
31,2014-09-30,42123
32,2014-06-30,37432
33,2014-03-31,45646
34,2013-12-31,57594
35,2013-09-30,37472
36,2013-06-30,35323
37,2013-03-31,43603
38,2012-12-31,54512
39,2012-09-30,35966
40,2012-06-30,35023
41,2012-03-31,39186
42,2011-12-31,46333
43,2011-09-30,28270
44,2011-06-30,28571
45,2011-03-31,24667
46,2010-12-31,26741
47,2010-09-30,20343
48,2010-06-30,15700
49,2010-03-31,13499
50,2009-12-31,15683
51,2009-09-30,12207
52,2009-06-30,9734
53,2009-03-31,9084
